headword,pos,topic,confidence,rawTopic
'm,be-verb,general,0.980,general
're,be-verb,general,0.990,general
's,be-verb,general,0.980,general
April,noun,general,1.000,general
Atlantic,adjective,nature,0.740,nature
August,noun,general,1.000,general
CD,noun,technology,0.600,technology
CD player,noun,technology,0.630,technology
CD-ROM,noun,technology,1.000,technology
CV,noun,work,1.000,work
Christian,adjective,arts,0.960,arts
DJ,noun,entertainment,0.940,entertainment
DNA,noun,science,0.970,science
DVD,noun,entertainment,0.520,entertainment
December,noun,general,1.000,general
Englishman,noun,city,0.560,city
February,noun,general,1.000,general
Friday,noun,general,1.000,general
HIV,noun,health,1.000,health
I,pronoun,general,1.000,general
ID,noun,society,0.610,society
ID card,noun,society,0.860,society
IT,noun,general,0.630,general
Internet/internet,noun,technology,1.000,technology
January,noun,general,1.000,general
July,noun,general,1.000,general
June,noun,general,1.000,general
MP3 player,noun,technology,0.910,technology
March,noun,general,1.000,general
May,noun,general,1.000,general
Mediterranean,noun,nature,0.710,nature
Miss,noun,general,0.220,communication
Monday,noun,general,1.000,general
Mr./Mr,noun,general,0.370,general
Mrs./Mrs,noun,family,0.750,family
Ms./Ms,noun,communication,0.610,communication
November,noun,general,1.000,general
OK/okay,adjective,general,0.960,general
OK/okay,adverb,general,0.910,general
October,noun,general,1.000,general
Olympia,noun,city,0.590,city
Olympiad,noun,sports,0.850,sports
Olympic,adjective,sports,1.000,sports
Olympics,noun,sports,1.000,sports
PC,noun,technology,0.990,technology
Saturday,noun,general,1.000,general
September,noun,general,1.000,general
Shakespearean,adjective,arts,1.000,arts
Soviet,noun,society,0.950,society
Sunday,noun,general,1.000,general
T-shirt/tee-shirt,noun,shopping,1.000,shopping
TV,noun,entertainment,0.750,entertainment
Thursday,noun,general,1.000,general
Tuesday,noun,general,1.000,general
Wednesday,noun,general,1.000,general
X-ray,noun,health,0.980,health
a,determiner,general,1.000,general
a.m./A.M./am/AM,adverb,general,1.000,general
abandon,verb,general,0.940,general
abandoned,adjective,general,0.890,general
aberration,noun,general,0.730,general
abhor,verb,feelings,1.000,feelings
abhorrent,adjective,feelings,0.910,feelings
abhorrently,adverb,feelings,0.610,feelings
ability,noun,general,0.530,general
abject,adjective,feelings,0.940,feelings
able,adjective,general,0.980,general
abnormal,adjective,general,0.900,general
abnormally,adverb,general,0.990,general
aboard,adverb,travel,0.960,travel
aboard,preposition,general,0.530,general
abolish,verb,society,0.980,society
aboriginal,adjective,society,0.700,society
aborigine,noun,society,0.680,society
abound,verb,general,0.970,general
about,adverb,general,1.000,general
about,preposition,general,1.000,general
above,adjective,general,1.000,general
above,adverb,general,1.000,general
above,preposition,general,1.000,general
abroad,adverb,travel,0.940,travel
abruptly,adverb,general,1.000,general
absence,noun,general,0.840,general
absent,adjective,general,0.960,general
absentee,noun,work,0.600,work
absolute,adjective,general,1.000,general
absolute,noun,general,0.910,general
absolutely,adverb,general,1.000,general
absorb,verb,general,0.850,general
abstract,adjective,general,0.720,general
abstraction,noun,general,0.420,arts
absurd,adjective,general,0.950,general
abundance,noun,general,0.960,general
abundant,adjective,general,1.000,general
abundantly,adverb,general,1.000,general
abuse,noun,society,0.960,society
academic,adjective,education,0.990,education
academy,noun,education,1.000,education
accent,noun,communication,1.000,communication
accept,verb,general,0.920,general
acceptable,adjective,general,0.990,general
acceptance,noun,feelings,0.950,feelings
access,noun,general,0.620,general
access,verb,general,0.740,general
accessibility,noun,society,0.670,society
