headword,pos,topic,confidence,rawTopic
a,determiner,general,1.000,general
abandon,verb,health,0.690,health
abandoned,adjective,general,0.140,feelings
ability,noun,general,0.460,business
abstraction,noun,general,0.210,nature
aim,noun,general,0.460,food
all-encompassing,adjective,general,0.520,general
along,preposition,general,0.540,general
analyst,noun,business,0.590,business
angry,adjective,feelings,1.000,feelings
antiquity,noun,arts,0.960,arts
apt to,verb,general,0.290,business
aspirin,noun,general,0.240,entertainment
assertion,noun,general,0.480,communication
assimilate,verb,general,0.330,science
assistant,adjective,general,0.440,general
automatic,verb,general,0.300,science
balky,adjective,general,0.110,nature
band,noun,entertainment,0.950,entertainment
beauty,noun,general,0.400,general
beneath,preposition,food,0.520,food
big,adjective,general,0.970,general
bogus,adjective,general,0.950,general
boost,noun,general,0.140,business
brand,noun,general,0.290,business
breathe,verb,body,0.900,body
buffoonery,noun,general,0.470,entertainment
bump,verb,general,0.440,feelings
careful,adjective,general,0.640,general
catastrophe,noun,general,0.110,nature
chain,noun,general,0.320,business
chat show,noun,food,0.680,food
cite,verb,communication,0.590,communication
close,adjective,general,0.950,general
cola,noun,food,1.000,food
commercial,noun,business,0.700,business
concentration,noun,general,0.110,general
condone,verb,science,0.730,science
confabulation,noun,general,0.450,science
contraption,noun,general,0.380,general
cooler,noun,general,0.430,home
cooperation,noun,education,0.520,education
couch,noun,home,1.000,home
counterproductive,adjective,general,0.940,general
cucumber,noun,general,0.380,feelings
darkroom,noun,general,0.450,arts
database,noun,general,0.200,feelings
daylight,noun,nature,0.880,nature
deficiently,adverb,general,0.440,general
deny,verb,feelings,0.630,feelings
dining room,noun,home,0.980,home
diploma,noun,general,0.300,family
display,noun,general,0.460,arts
distribute,verb,general,0.320,food
divergent,adjective,general,0.360,general
drill,verb,general,0.380,education
dumb,adjective,general,0.370,business
dutifully,adverb,general,0.170,general
edify,verb,general,0.410,science
egalitarian,noun,society,0.940,society
egg,noun,food,0.970,food
either,conjunction,general,1.000,general
elevation,noun,general,0.460,nature
eminent,adjective,general,0.280,general
emotion,noun,general,0.210,general
emulsification,noun,general,0.360,science
epoxy,noun,general,0.430,general
evacuate,verb,general,0.160,communication
exhibition,noun,arts,0.860,arts
experience,verb,general,0.270,general
exterior,noun,general,0.350,general
extravagance,noun,general,0.420,general
exude,verb,general,0.260,body
famous,adjective,general,0.490,general
father-in-law,noun,general,0.190,business
final,adjective,general,0.960,general
fish,verb,general,0.410,sports
floor,noun,home,0.910,home
flourish,noun,business,0.590,business
